                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9796,                 1.4526,                 1.2184,                  2.206,                 2.0294,                 1.0834,                 0.6402,                0.60666,                0.63055,                0.25235,                 1.8711,                 1.0293,                 1.1199,                 1.9832,                 1.4808,                 1.0616,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.8931,                 1.0776,                 1.1488,                 2.1478,                 1.4517,                 1.0482,                0.70254,                0.65884,                0.69886,                0.28523,                 1.8876,                0.95888,                 1.1027,                 1.9994,                 1.2447,                 1.0555,              0.0066409,              0.0066409,              0.0066409
                      3,                 1.8862,                 1.0526,                 1.1423,                 2.1438,                 1.3241,                 1.0538,                0.71461,                0.67843,                0.71763,                0.27409,                 1.9603,                0.98017,                 1.1112,                 2.0378,                 1.1716,                 1.0542,              0.0099302,              0.0099302,              0.0099302
                      4,                 1.8793,                 1.0202,                 1.1224,                 2.1551,                 1.2176,                 1.0492,                0.74909,                0.70225,                 0.7617,                0.32812,                 1.8303,                0.91091,                 1.0793,                 1.9766,                 1.0235,                 1.0548,               0.009901,               0.009901,               0.009901
                      5,                 1.8274,                0.95499,                 1.1023,                  2.107,                 1.1089,                 1.0397,                0.77339,                0.72523,                0.78194,                 0.3395,                 1.8181,                0.86003,                 1.0597,                 1.9499,                0.94521,                 1.0404,               0.009901,               0.009901,               0.009901
                      6,                 1.7938,                0.91074,                 1.0949,                  2.064,                 1.0437,                 1.0396,                0.79328,                0.75215,                0.81367,                0.36543,                 1.7493,                0.82304,                 1.0501,                 1.9019,                0.88788,                 1.0383,               0.009868,               0.009868,               0.009868
                      7,                 1.7916,                0.88368,                 1.0885,                 2.0619,                  1.006,                 1.0385,                0.80345,                0.76323,                0.82575,                0.36847,                 1.7594,                0.82576,                 1.0499,                 1.8991,                0.88602,                 1.0387,               0.009835,               0.009835,               0.009835
                      8,                 1.7761,                0.86867,                 1.0815,                 2.0504,                0.98022,                 1.0326,                0.81939,                 0.7727,                0.83599,                0.37891,                 1.7219,                0.79601,                 1.0412,                 1.8908,                0.84259,                 1.0372,               0.009802,               0.009802,               0.009802
                      9,                 1.7525,                0.85145,                 1.0745,                 2.0353,                0.95493,                 1.0301,                0.82105,                0.77564,                0.84145,                0.38873,                  1.717,                0.78887,                 1.0381,                 1.8591,                0.83561,                 1.0303,               0.009769,               0.009769,               0.009769
                     10,                 1.7456,                 0.8348,                 1.0689,                 2.0233,                0.93026,                 1.0226,                0.82441,                 0.7958,                0.84865,                 0.3976,                 1.7132,                0.77005,                 1.0369,                 1.8492,                0.80361,                 1.0263,               0.009736,               0.009736,               0.009736
